"都道府県","市区町村","latitude","longitude","合計特殊出生率","財政力指数","平均所得","経常収支比率","実質公債費比率","将来負担比率","ラスパイレス指数"
"北海道","神恵内村",43.143813,140.430742,1.23,0.1,3354825,96.3,6.6,8,99.4
"北海道","積丹町",43.298853,140.598193,1.33,0.11,2801790,88.2,10,56.8,98.5
"北海道","古平町",43.26536,140.63882,1.24,0.12,2441473,84.5,8.7,"-",95.4
"北海道","仁木町",43.151691,140.76613,1.3,0.18,2958777,87.5,9.8,"-",97.3
"北海道","余市町",43.195232,140.783467,1.29,0.34,2618584,90.7,7.1,47.6,98.2
"北海道","赤井川村",43.08349,140.813481,1.22,0.26,2690345,110.9,6.6,"-",96.8
"北海道","南幌町",43.063727,141.650069,1.22,0.29,2833836,86.1,11.2,86.6,97.1
"北海道","奈井江町",43.425106,141.882788,1.23,0.26,2699391,90.9,11.5,52.2,96.2
"北海道","上砂川町",43.482608,141.984084,1.32,0.12,2231786,81.3,5.9,30.8,95.3
"北海道","由仁町",42.999605,141.790338,1.19,0.22,2723716,88.2,15.1,111.8,95
"北海道","長沼町",43.010353,141.695252,1.29,0.31,2871052,85.7,11.2,66.7,96.7
"北海道","栗山町",43.056309,141.784255,1.21,0.3,2688124,96.8,11.7,54.1,96.8
"北海道","月形町",43.338436,141.669451,1.23,0.17,2678911,71.7,2.7,"-",96.7
"北海道","浦臼町",43.430322,141.818837,1.28,0.16,2780505,72.9,-2.1,"-",96.6
"北海道","新十津川町",43.548547,141.877032,1.37,0.19,2858345,78.1,0.5,"-",96.5
"北海道","妹背牛町",43.700112,141.961711,1.21,0.18,2943340,76.6,6.6,51.3,97.5
"北海道","秩父別町",43.767013,141.957958,1.38,0.16,2803688,87,6.1,"-",99.2
"北海道","雨竜町",43.643924,141.88899,1.2,0.15,2995277,86.2,8.4,"-",97
"北海道","北竜町",43.731356,141.879022,1.32,0.14,2967147,89.4,10.2,"-",96.9
"北海道","沼田町",43.806802,141.933272,1.33,0.16,2883160,79.6,-0.6,"-",96.8
"北海道","鷹栖町",43.843353,142.354451,1.34,0.3,2780374,88.3,4.9,28.7,97.4
"北海道","東神楽町",43.696626,142.451437,1.41,0.39,3002933,81.6,8.9,6.2,99.8
"北海道","当麻町",43.828177,142.508366,1.23,0.22,2575152,81.3,5.6,38.2,95.4
"北海道","比布町",43.875076,142.477552,1.19,0.18,2655728,90,8.5,24.2,97.9
"北海道","愛別町",43.906504,142.577973,1.28,0.16,2621068,97.2,8.8,9.9,95.5
"北海道","上川町",43.84718,142.770431,1.19,0.17,2514658,91,12.4,95.8,101.9
"北海道","東川町",43.698974,142.510317,1.33,0.25,2784515,80.4,9.4,11.1,99.2
"北海道","美瑛町",43.588187,142.466972,1.19,0.22,3018435,84.3,11,54.6,99.4
"北海道","上富良野町",43.455661,142.467073,1.44,0.3,2785573,88.1,6.5,36.8,97.8
"北海道","中富良野町",43.405671,142.425136,1.49,0.24,2903927,76.8,7.1,"-",97.1
"北海道","南富良野町",43.163979,142.568488,1.25,0.13,2801878,89,13.7,16.4,97.5
"北海道","占冠村",42.979779,142.398357,1.08,0.27,2606096,95.6,8.6,52,100
"北海道","和寒町",44.023068,142.413306,1.24,0.16,2767286,76.3,2.9,"-",98.2
"北海道","剣淵町",44.095677,142.361221,1.4,0.16,2753184,86.3,4.9,"-",99.5
"北海道","下川町",44.302503,142.635308,1.23,0.16,2829746,88.1,5.9,24,97.1
"北海道","美深町",44.481126,142.343014,1.21,0.17,2814229,73.1,6.5,"-",96
"北海道","音威子府村",44.725004,142.262464,1.22,0.11,3350338,92.9,6.1,27.8,97.7
"北海道","中川町",44.811346,142.071438,1.26,0.12,3111068,89.5,13.3,"-",98.6
"北海道","幌加内町",44.009854,142.153933,1.3,0.11,3262494,91.5,2.1,"-",95.5
"北海道","増毛町",43.856033,141.525198,1.3,0.16,2667271,86,10.7,"-",95.2
"北海道","小平町",44.015108,141.662575,1.47,0.15,2786873,80.3,10.2,"-",95.2
"北海道","苫前町",44.30604,141.653022,1.33,0.16,3060537,82.2,9.7,"-",94.3
"北海道","羽幌町",44.360683,141.69725,1.44,0.2,2792799,86.2,10.4,6.8,94.7
"北海道","初山別村",44.532154,141.766409,1.29,0.11,3093503,81.8,6.6,"-",94.6
"北海道","遠別町",44.722139,141.792369,1.24,0.14,2940675,82.3,8,10.4,97.1
"北海道","天塩町",44.888341,141.745397,1.36,0.16,3171742,82.8,8.3,21.6,96.2
"北海道","猿払村",45.330616,142.109192,1.62,0.26,5311491,89.7,9.9,8.7,96.5
"北海道","浜頓別町",45.123694,142.359948,1.3,0.2,3747791,88.9,8,6.7,97.5
"北海道","中頓別町",44.969819,142.286735,1.35,0.11,2865023,62.6,-1.5,"-",96.6
"北海道","枝幸町",44.938714,142.581411,1.61,0.2,3810360,80.5,7.8,"-",96.2
"北海道","豊富町",45.102933,141.777505,1.36,0.19,2848861,74.1,14.5,"-",96.7
"北海道","礼文町",45.30302,141.047689,1.34,0.13,3303194,74.4,12.9,"-",94.3
"北海道","利尻町",45.187068,141.139627,1.29,0.11,3106039,78.3,11.2,102,95.3
"北海道","利尻富士町",45.247735,141.214344,1.33,0.12,2834327,80.4,13.9,12,95.1
"北海道","幌延町",45.017711,141.849384,1.43,0.24,3310621,76.4,7.8,"-",99.8
"北海道","美幌町",43.823782,144.107042,1.34,0.37,2824477,82.1,7.4,"-",96.7
"北海道","津別町",43.706453,144.025032,1.44,0.21,2924597,81.5,6.3,"-",98.5
"北海道","斜里町",43.911513,144.670605,1.52,0.37,3652360,85.3,9.9,94.1,94.7
"北海道","清里町",43.835216,144.594562,1.44,0.19,3271776,75.6,9.3,"-",97.3
"北海道","小清水町",43.856852,144.462025,1.51,0.22,2984563,83.6,11.7,"-",97.1
"北海道","訓子府町",43.725255,143.74173,1.38,0.24,3407939,75.5,6.2,"-",96.4
"北海道","置戸町",43.676323,143.586397,1.35,0.14,2980342,77.9,6.9,"-",100.1
"北海道","佐呂間町",44.017756,143.774506,1.62,0.26,3811548,79.7,7.5,"-",98.2
"北海道","遠軽町",44.061953,143.527947,1.5,0.27,2880838,92,9.7,17.8,96.6
"北海道","湧別町",44.151598,143.572894,1.49,0.26,3244003,78.8,6.6,"-",96
"北海道","滝上町",44.192203,143.077588,1.29,0.13,2961252,79.1,6.3,"-",96.2
"北海道","興部町",44.469878,143.123891,1.41,0.22,3803243,78,8.7,2.6,96.9
"北海道","西興部村",44.328853,142.944392,1.38,0.1,2926884,92.7,12.4,"-",96.3
"北海道","雄武町",44.582551,142.96181,1.37,0.2,3511931,75.2,8.2,"-",99.3
"北海道","大空町",43.91185,144.172709,1.5,0.26,3145611,89.4,10.5,"-",97.4
"北海道","豊浦町",42.583447,140.711832,1.26,0.19,2544913,85.3,13.2,"-",97.4
"北海道","壮瞥町",42.552283,140.886014,1.25,0.2,2642509,91.2,12.6,"-",93.5
"北海道","白老町",42.55126,141.355955,1.15,0.39,2478071,92.2,13.3,31.7,98.9
"北海道","厚真町",42.723662,141.877935,1.39,0.48,3200183,83.6,9.7,"-",98.7
"北海道","洞爺湖町",42.551269,140.764098,1.23,0.29,2624502,94.4,10.9,42.1,98.7
"北海道","安平町",42.762815,141.818017,1.42,0.46,4187387,90.3,10.5,54.3,98.2
"北海道","むかわ町",42.574807,141.92675,1.51,0.23,2866895,90,9.6,5,97.7
"北海道","日高町",42.48029,142.074398,1.4,0.27,3014860,97.8,11.6,65.4,97.7
"北海道","平取町",42.585081,142.128523,1.42,0.19,2991495,83.6,4.8,39.1,97.2
"北海道","新冠町",42.362406,142.318332,1.39,0.23,2979993,89.8,7.5,6.9,95.8
"北海道","浦河町",42.168516,142.76812,1.36,0.3,3012348,80.7,11.1,30.9,96.3
"北海道","様似町",42.127853,142.93355,1.4,0.19,2668609,88.9,10.3,48.8,96.7
"北海道","えりも町",42.01628,143.148443,1.36,0.17,2923673,89.9,9.7,"-",96.1
"北海道","新ひだか町",42.341281,142.368591,1.46,0.33,2873094,89.8,9.6,41.6,95.5
"北海道","音更町",42.994143,143.19796,1.34,0.51,3063617,88.9,10.7,56.5,97.6
"北海道","士幌町",43.168027,143.241377,1.42,0.3,3946215,86.4,6.3,"-",98.7
"北海道","上士幌町",43.232548,143.296189,1.49,0.24,3327525,89.9,7.5,"-",97.8
"北海道","鹿追町",43.099102,142.989043,1.4,0.27,3590035,80.3,10.3,"-",98.6
"北海道","新得町",43.079796,142.838737,1.2,0.25,2919879,82.5,10.9,"-",97.8
"北海道","清水町",43.011356,142.88454,1.34,0.35,3151017,87.4,6.1,1,98.6
"北海道","芽室町",42.91186,143.050863,1.34,0.5,3237840,82.2,4.4,58.5,98.1
"北海道","中札内村",42.697614,143.132443,1.37,0.3,3347007,87.7,5.6,"-",96.7
"北海道","更別村",42.650351,143.187858,1.53,0.28,3974385,82.6,9.9,"-",97.8
"北海道","大樹町",42.49754,143.278814,1.52,0.25,3116703,87.6,9.5,16.9,96.9
"北海道","広尾町",42.285838,143.311496,1.45,0.24,3022541,86.6,15,52.7,97.3
"北海道","幕別町",42.908234,143.355969,1.46,0.36,2909325,85.9,9,85.9,97
"北海道","池田町",42.928955,143.448355,1.22,0.23,2937395,87.5,12.8,44.6,97.3
"北海道","豊頃町",42.801052,143.505919,1.39,0.22,3591993,83.5,7.3,"-",97.9
"北海道","本別町",43.124712,143.610573,1.41,0.28,3160507,84.4,10.8,41.4,96.5
"北海道","足寄町",43.244801,143.553905,1.33,0.2,3101189,87.5,9.7,"-",97.1
"北海道","陸別町",43.468981,143.747243,1.35,0.18,3076492,77.4,10.1,"-",96.1
"北海道","浦幌町",42.808927,143.658396,1.34,0.2,3088492,89.3,8.2,0.6,95.3
"北海道","釧路町",42.996045,144.466032,1.36,0.5,2663557,93.1,8,46.4,96.8
"北海道","厚岸町",43.051871,144.84736,1.31,0.23,2980306,93.2,11.9,79.6,98.5
"北海道","浜中町",43.077145,145.129369,1.54,0.22,3250176,85.7,10.9,84.2,99.3
"北海道","標茶町",43.30344,144.600779,1.38,0.23,3186427,88.5,8.7,27.7,98.2
"北海道","弟子屈町",43.485348,144.459221,1.36,0.23,3060080,93.8,16.4,75.7,96.1
"北海道","鶴居村",43.229887,144.321216,1.33,0.19,3268967,81.3,4.8,"-",99.4
"北海道","白糠町",42.956177,144.071805,1.19,0.26,2468256,82,8.7,"-",96.5
"北海道","別海町",43.393787,145.117271,1.64,0.32,3616124,92.9,12.3,80,97.4
"北海道","中標津町",43.555242,144.971391,1.49,0.43,3048007,94.8,13.5,91.5,94.1
"北海道","標津町",43.661387,145.131319,1.57,0.22,3273452,72,8.6,"-",95.8
"北海道","羅臼町",44.021876,145.18962,1.3,0.25,3062594,85.2,7.8,"-",97.8
"青森県","青森市",40.822072,140.747365,1.27,0.56,2776879,92.2,14.2,89.3,97.2
"青森県","弘前市",40.603124,140.463922,1.28,0.5,2819344,96.6,6.4,48.6,94.6
"青森県","八戸市",40.512284,141.488399,1.39,0.67,2849252,91.9,9.5,126,98.5
"青森県","黒石市",40.642632,140.594645,1.33,0.37,2290262,90.4,15.6,51.2,92.1
"青森県","五所川原市",40.808002,140.44009,1.28,0.33,2513055,97.2,10.5,125,98
"青森県","十和田市",40.612703,141.205908,1.33,0.44,2748782,90.3,8.2,11.6,96.6
"青森県","三沢市",40.683134,141.368976,1.62,0.52,2991464,91,10,59.4,94.6
"青森県","むつ市",41.292746,141.183476,1.36,0.38,2748709,98.1,15.4,144.7,96.8
"青森県","つがる市",40.808639,140.380059,1.27,0.24,2339110,93.5,12.4,134.2,95.9
"青森県","平川市",40.584011,140.566478,1.29,0.29,2308271,93.8,8.9,"-",94.8
"青森県","平内町",40.926031,140.95592,1.44,0.27,2610359,82.2,9.8,84.1,98
"青森県","今別町",41.181757,140.481654,1.31,0.21,2292055,78.8,3.9,26.7,97
"青森県","蓬田村",40.971714,140.655966,1.31,0.2,2308444,83.6,2.7,"-",99.5
"青森県","外ヶ浜町",41.043159,140.632296,1.22,0.19,2513180,96.9,10.9,43.2,97.6
"青森県","鰺ヶ沢町",40.779913,140.208695,1.2,0.22,2358576,98.6,14.5,190,93.3
"青森県","深浦町",40.647895,139.927375,1.29,0.17,2178274,96.7,10.8,46.4,94.5
"青森県","西目屋村",40.576709,140.296288,1.36,0.15,2154292,92.7,11.6,45.1,92.9
"青森県","藤崎町",40.656069,140.502811,1.41,0.29,2351870,87.4,13.2,55.1,94.2
"青森県","大鰐町",40.518188,140.567828,1.24,0.23,2137981,94.6,15.1,118,90.6
"青森県","田舎館村",40.631252,140.550116,1.43,0.29,2260445,85.9,6.4,"-",93
"青森県","板柳町",40.695894,140.457324,1.31,0.28,2260513,90.7,9.2,"-",93.7
"青森県","鶴田町",40.758605,140.428382,1.33,0.28,2341846,90.6,12.5,142.4,96.2
"青森県","中泊町",40.965179,140.43984,1.35,0.22,2413691,93.2,11.1,84.1,94
"青森県","野辺地町",40.864469,141.128757,1.23,0.39,2543819,99.9,7.6,21.7,95.5
"青森県","七戸町",40.697416,141.151021,1.31,0.38,2512698,86.7,4.8,6,96.9
"青森県","六戸町",40.609521,141.324949,1.57,0.43,2608177,88,8.6,"-",97.2
"青森県","横浜町",41.083147,141.247793,1.37,0.32,2696172,93,6.1,"-",99.1
"青森県","東北町",40.727876,141.257882,1.56,0.31,2491293,89.5,11.7,110.9,97.7
"青森県","六ヶ所村",40.967344,141.374552,1.54,1.79,3231544,89.1,4.8,"-",100.5
"青森県","おいらせ町",40.599107,141.397797,1.67,0.47,2654278,95.3,11.1,4,94.8
"青森県","大間町",41.526771,140.907438,1.49,0.28,2972162,85.7,14.8,42,98.3
"青森県","東通村",41.277787,141.328936,1.47,0.71,2780874,81.7,16.5,"-",93.7
"青森県","風間浦村",41.487574,140.995729,1.27,0.1,2282352,92.2,13.4,0.2,94.3
"青森県","佐井村",41.429706,140.859129,1.33,0.12,2386116,84.1,6.4,"-",95.7
"青森県","三戸町",40.378407,141.258745,1.32,0.26,2326360,94.3,11.5,57,93.6
"青森県","五戸町",40.531225,141.30779,1.29,0.29,2452383,88,9.4,19.1,94
"青森県","田子町",40.339962,141.15205,1.41,0.22,2359908,89.6,8.4,30.3,92.5
"青森県","南部町",40.466593,141.381986,1.31,0.28,2391666,86.6,7.5,"-",93.4
"青森県","階上町",40.452489,141.620851,1.23,0.37,2506706,91.3,11.3,25.4,96.4
"青森県","新郷村",40.465626,141.173464,1.28,0.15,2282331,82.7,7.1,"-",92.7
"岩手県","盛岡市",39.702053,141.154484,1.28,0.75,3178102,96,9.7,59.5,99.4
"岩手県","宮古市",39.64142,141.95714,1.44,0.39,2600782,93,8.2,21.2,95.4
"岩手県","大船渡市",39.081901,141.70853,1.32,0.46,2700670,93.3,11.9,104.2,96.6
"岩手県","花巻市",39.388578,141.116645,1.31,0.48,2622060,86.1,8.6,68.5,95.7
"岩手県","北上市",39.286765,141.113191,1.33,0.76,2918675,92,7.9,42.3,99.6
"岩手県","久慈市",40.190524,141.775583,1.34,0.42,2707157,88.6,13.6,120.8,96.5
"岩手県","遠野市",39.327838,141.533303,1.44,0.31,2430028,88.4,11.1,60.3,98.1
"岩手県","一関市",38.934682,141.1268,1.32,0.37,2573774,95.8,10.7,77,97.8
"岩手県","陸前高田市",39.027661,141.625495,1.39,0.33,2528583,94.5,14.9,"-",94.7
"岩手県","釜石市",39.275818,141.885677,1.37,0.53,2698828,99.1,15.8,"-",96.3
"岩手県","二戸市",40.271213,141.304817,1.32,0.36,2477031,93.9,11.2,35.4,96.7
"岩手県","八幡平市",39.956477,141.071292,1.27,0.3,2453593,98.3,16.2,47,96.2
"岩手県","奥州市",39.144529,141.139141,1.39,0.44,2658338,96.4,16.2,73.9,98.6
"岩手県","滝沢市",39.734684,141.077095,1.37,0.6,2719928,87.7,6.2,57.3,96.8
"岩手県","雫石町",39.696288,140.975776,1.25,0.4,2449571,92.8,6.3,50.9,95.3
"岩手県","葛巻町",40.039896,141.436465,1.38,0.16,2335935,85.2,8.4,5.5,97.3
"岩手県","岩手町",39.97259,141.212516,1.38,0.34,2446354,87.7,7.1,29.9,94.6
"岩手県","紫波町",39.554568,141.155659,1.32,0.47,2588663,93.1,12.9,122.6,94.8
"岩手県","矢巾町",39.605981,141.142889,1.19,0.69,2800672,99.5,15,125.6,97.8
"岩手県","西和賀町",39.434621,140.750124,1.28,0.15,2504420,86.1,11.2,85.6,96.9
"岩手県","金ケ崎町",39.195742,141.116324,1.49,0.68,2669100,85.1,13.8,"-",94.4
"岩手県","平泉町",38.986662,141.113822,1.31,0.32,2445602,88.1,8.8,63.9,98.4
"岩手県","住田町",39.14223,141.575047,1.34,0.19,2391384,86.2,9.6,"-",94.1
"岩手県","大槌町",39.358231,141.899422,1.43,0.32,2553640,91.5,13,"-",96.6
"岩手県","山田町",39.467662,141.94895,1.43,0.33,2515787,89.9,6.1,"-",95.8
"岩手県","岩泉町",39.843042,141.796303,1.35,0.16,2378469,95.9,13.8,"-",96.2
"岩手県","田野畑村",39.93045,141.888868,1.33,0.16,2355961,88,8.7,"-",88.4
"岩手県","普代村",40.005167,141.885908,1.39,0.17,2295427,98.6,9.6,"-",95.2
"岩手県","軽米町",40.326746,141.460633,1.36,0.29,2380657,89.8,10.8,74.8,91.9
"岩手県","野田村",40.110266,141.817668,1.36,0.21,2604466,87.4,7.1,"-",91.9
"岩手県","九戸村",40.211392,141.418985,1.32,0.21,2261237,82.1,6.9,"-",92.3
"岩手県","洋野町",40.284263,141.624833,1.21,0.26,2471099,85.8,12.2,18.9,92.2
"岩手県","一戸町",40.213011,141.295475,1.3,0.34,2358376,92.3,8.7,21.8,97
"宮城県","仙台市",38.269076,140.870403,1.14,0.91,3469241,98.5,6.1,71.2,102.6
"宮城県","石巻市",38.43448,141.302917,1.27,0.54,2843023,99.8,9.1,0.8,97.4
"宮城県","塩竈市",38.314362,141.022027,1.15,0.52,2709949,95.5,5.3,"-",96.9
"宮城県","気仙沼市",38.908078,141.569992,1.27,0.46,2670920,101.6,9.2,"-",95.3
"宮城県","白石市",38.002478,140.61986,1.13,0.5,2573355,91.7,4.5,"-",96.4
"宮城県","名取市",38.17152,140.891913,1.32,0.85,3190919,99.6,3.9,"-",95.7
"宮城県","角田市",37.977063,140.78199,1.21,0.52,2624573,98.8,9.2,79.5,96.6
"宮城県","多賀城市",38.293839,141.004225,1.44,0.72,2990055,99.6,4.7,"-",93.1
"宮城県","岩沼市",38.104292,140.870138,1.35,0.82,2951143,99.5,-1.1,"-",97
"宮城県","登米市",38.691923,141.187579,1.37,0.37,2572736,93.9,7.2,83.1,93.6
"宮城県","栗原市",38.730128,141.021333,1.25,0.32,2556306,94.2,8.6,44.8,94.1
"宮城県","東松島市",38.426168,141.210242,1.32,0.46,2739617,93.3,7.5,"-",94.2
"宮城県","大崎市",38.577071,140.95535,1.27,0.5,2737824,94.4,6.9,51.6,97.9
"宮城県","富谷市",38.400245,140.89531,1.32,0.83,3428026,91.7,-2.2,"-",93.1
"宮城県","蔵王町",38.098164,140.658416,1.28,0.48,2541243,91.7,4.6,6.7,98.8
"宮城県","七ヶ宿町",37.993063,140.441612,1.16,0.33,2368763,86.9,6.6,"-",97.7
"宮城県","大河原町",38.049493,140.730721,1.25,0.64,2784427,93.4,-0.3,57.5,94.9
"宮城県","村田町",38.118539,140.722404,1.14,0.43,2549515,94.8,12.7,115.4,92.7
"宮城県","柴田町",38.056563,140.76579,1.22,0.63,2685674,93.5,3.7,32.8,96
"宮城県","川崎町",38.177737,140.643202,1.13,0.33,2387792,93.2,4.7,"-",98.2
"宮城県","丸森町",37.911429,140.765528,1.15,0.3,2443336,87.5,11.1,8.1,90.4
"宮城県","亘理町",38.03746,140.852581,1.25,0.6,2663447,90.2,5,"-",93.5
"宮城県","山元町",37.961668,140.877818,1.16,0.4,2508710,94.2,7.8,"-",88.5
"宮城県","松島町",38.380128,141.067244,1.11,0.46,2632545,93.5,7,13.1,92.4
"宮城県","七ヶ浜町",38.304613,141.059186,1.19,0.57,2800944,94.2,0.5,"-",93.1
"宮城県","利府町",38.33019,140.975722,1.35,0.84,3151836,88.5,7.2,53.8,94.5
