"都道府県名","市町村名","平均所得"
"千葉県","木更津市",3351378
"兵庫県","猪名川町",3351325
"北海道","音威子府村",335338
"山梨県","鳴沢村",3348161
"愛知県","一宮市",3347446
"北海道","中札内村",3347007
"静岡県","浜松市",3346802
"沖縄県","嘉手納町",3346326
"東京都","利島村",3345760
"徳島県","徳島市",3345684
"高知県","北川村",3342668
"東京都","羽村市",334906
"茨城県","つくばみらい市",3339822
"愛知県","稲沢市",3339524
"埼玉県","吉川市",3336788
"兵庫県","明石市",3336397
"神奈川県","小田原市",3334504
"愛知県","岩倉市",3332598
"奈良県","斑鳩町",3331781
"茨城県","ひたちなか市",333544
"北海道","上士幌町",3327525
"三重県","鈴鹿市",3326680
"愛知県","蟹江町",3324008
"埼玉県","八潮市",3323643
"三重県","菰野町",3323088
"沖縄県","北谷町",3314748
"北海道","倶知安町",3313972
"福井県","鯖江市",3313964
"沖縄県","那覇市",3313917
"愛知県","弥富市",3311059
"北海道","幌延町",331621
"長野県","松本市",3309324
"福島県","双葉町",3306181
"愛知県","扶桑町",3306129
"三重県","川越町",3306028
"和歌山県","和歌山市",3305899
"茨城県","神栖市",3304648
"岡山県","岡山市",3304435
"兵庫県","上郡町",3303929
"北海道","礼文町",3303194
"岐阜県","岐南町",3301143
"愛知県","あま市",330948
"愛知県","瀬戸市",3299758
"栃木県","高根沢町",3298051
"群馬県","前橋市",3296829
"静岡県","静岡市",3296787
"三重県","津市",3295727
"長崎県","長与町",3294737
"愛知県","美浜町",3291667
"埼玉県","蓮田市",329613
"岐阜県","大垣市",3287475
"香川県","宇多津町",3286966
"埼玉県","伊奈町",3286576
"千葉県","鎌ケ谷市",3279951
"静岡県","清水町",3279607
"岐阜県","各務原市",3278693
"千葉県","袖ケ浦市",3278032
"北海道","標津町",3273452
"静岡県","裾野市",3273258
"香川県","高松市",3272521
"北海道","清里町",3271776
"北海道","稚内市",3269629
"北海道","鶴居村",3268967
"熊本県","菊陽町",3268735
"埼玉県","桶川市",3267973
"沖縄県","与那国町",3267631
"香川県","直島町",3263607
"北海道","幌加内町",3262494
"神奈川県","座間市",3261914
"山梨県","甲府市",3261738
"埼玉県","鶴ヶ島市",3258555
"兵庫県","高砂市",3258191
"愛知県","豊川市",3258063
"徳島県","北島町",3256132
"大阪府","熊取町",3254333
"奈良県","橿原市",3254032
"大阪府","四條畷市",3252699
"愛知県","武豊町",3251371
"茨城県","日立市",3251044
"京都府","宇治市",325828
"北海道","浜中町",325176
"石川県","野々市市",3248394
"岐阜県","笠松町",3245973
"埼玉県","熊谷市",3244969
"千葉県","成田市",3244234
"北海道","湧別町",3244003
"鹿児島県","三島村",3241335
"栃木県","小山市",324959
"福岡県","太宰府市",324925
"北海道","芽室町",3237840
"大阪府","泉大津市",3237694
"奈良県","平群町",3236964
"京都府","大山崎町",3235795
"愛知県","大治町",3235632
"三重県","東員町",3233749
"青森県","六ヶ所村",3231544
"福井県","福井市",3228964
"神奈川県","横須賀市",3228200
"埼玉県","滑川町",3225855
"福島県","楢葉町",3223760
"埼玉県","鴻巣市",3222022
"沖縄県","北大東村",3221299
"静岡県","富士市",3221096
"愛知県","蒲郡市",322548
"宮城県","女川町",32255
"愛知県","常滑市",3218318
"茨城県","土浦市",3218316
"群馬県","太田市",3218144
"兵庫県","尼崎市",3217502
"愛知県","犬山市",3217497
"熊本県","熊本市",3216880
"千葉県","市原市",3216704
"大阪府","柏原市",3215906
"大阪府","羽曳野市",3215358
"岐阜県","瑞穂市",3215319
"神奈川県","秦野市",3215235
"岐阜県","多治見市",321961
"福岡県","筑紫野市",3208097
"山口県","下松市",3207345
"埼玉県","北本市",3207315
"神奈川県","綾瀬市",3207073
"大阪府","河内長野市",3206756
"富山県","舟橋村",3205380
"福岡県","久留米市",3205063
"山口県","周南市",3202552
"大阪府","摂津市",320791
"北海道","厚真町",320183
"長野県","長野市",3199981
"静岡県","沼津市",3199851
"奈良県","三郷町",3198458
"埼玉県","久喜市",3198118
"大阪府","東大阪市",3196413
"埼玉県","入間市",3196127
"兵庫県","加古川市",3196014
"東京都","あきる野市",3195260
"鹿児島県","十島村",3195144
"宮城県","名取市",319919
"静岡県","熱海市",319673
"大阪府","太子町",3188923
"沖縄県","北中城村",3188653
"神奈川県","寒川町",3186998
"北海道","標茶町",3186427
"北海道","札幌市",3186221
"静岡県","御殿場市",3184622
"岐阜県","羽島市",3183834
"富山県","富山市",3183249
"滋賀県","彦根市",3182663
"茨城県","鹿嶋市",3178153
"岩手県","盛岡市",3178102
"大阪府","豊能町",3175510
"山梨県","山中湖村",3174126
"北海道","天塩町",3171742
"東京都","青梅市",3171365
"埼玉県","坂戸市",317740
"埼玉県","狭山市",3169306
"愛知県","津島市",3169231
"静岡県","湖西市",3169230
"栃木県","上三川町",3166492
"大阪府","貝塚市",3165126
"奈良県","葛城市",3164535
"石川県","能美市",3164366
"埼玉県","飯能市",3162847
"北海道","本別町",316507
"東京都","武蔵村山市",316370
"兵庫県","太子町",3159661
"福井県","敦賀市",3157175
"大阪府","泉佐野市",3155565
"福岡県","北九州市",3154229
"宮城県","利府町",3151836
"愛知県","愛西市",3151788
"滋賀県","近江八幡市",3151753
"長野県","諏訪市",3151216
"北海道","清水町",3151017
"茨城県","取手市",3149444
"京都府","八幡市",3147286
"福岡県","粕屋町",3146271
"静岡県","藤枝市",3145919
"北海道","大空町",3145611
"三重県","いなべ市",3144701
"埼玉県","東松山市",3138171
